CCAA,cod_ine,date,total
La Rioja,17,2020-03-17,13
La Rioja,17,2020-03-18,13
La Rioja,17,2020-03-19,15
La Rioja,17,2020-03-20,15
La Rioja,17,2020-03-21,17
La Rioja,17,2020-03-22,17
La Rioja,17,2020-03-23,22
La Rioja,17,2020-03-24,24
La Rioja,17,2020-03-25,33
Ceuta,18,2020-03-04,0
Ceuta,18,2020-03-05,0
Ceuta,18,2020-03-06,0
Ceuta,18,2020-03-09,0
Ceuta,18,2020-03-10,0
Ceuta,18,2020-03-11,0
Ceuta,18,2020-03-12,0
Ceuta,18,2020-03-13,0
Ceuta,18,2020-03-16,0
Ceuta,18,2020-03-17,0
Ceuta,18,2020-03-18,0
Ceuta,18,2020-03-19,0
Ceuta,18,2020-03-20,0
Ceuta,18,2020-03-21,0
Ceuta,18,2020-03-22,0
Ceuta,18,2020-03-23,0
Ceuta,18,2020-03-24,0
Ceuta,18,2020-03-25,1
Melilla,19,2020-03-04,0
Melilla,19,2020-03-05,0
Melilla,19,2020-03-06,0
Melilla,19,2020-03-09,0
Melilla,19,2020-03-10,0
Melilla,19,2020-03-11,0
Melilla,19,2020-03-12,0
Melilla,19,2020-03-13,0
Melilla,19,2020-03-16,0
Melilla,19,2020-03-17,0
Melilla,19,2020-03-18,0
Melilla,19,2020-03-19,0
Melilla,19,2020-03-20,1
Melilla,19,2020-03-21,1
Melilla,19,2020-03-22,1
Melilla,19,2020-03-23,1
Melilla,19,2020-03-24,1
Melilla,19,2020-03-25,2
